CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;EMAIL;EMAIL2;TITULARIDAD
Madrid-Capital;28048294;IES;HOTEL ESCUELA DE LA COMUNIDAD DE MADRID;Carretera De Colmenar Viejo, K12.8 ;Madrid;Fuencarral-El Pardo;28049;913721333;913720681;ies.hotelescuela.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28030216;IES;HUMANEJOS;Avenida Juan Carlos I, 19 ;Parla;-;28981;916982906;916982860;ies.humanejos.parla@educa.madrid.org;-;Público;
Madrid-Sur;28045803;IES;HUMANES;Avenida De Los Deportes, 12 ;Humanes de Madrid;-;28970;914982020;914982011;ies.humanes.humanes@educa.madrid.org;-;Público;
Madrid-Sur;28042632;IES;ICARO;Carretera De Getafe-leganés, S/n ;Getafe;-;28905;916834866;916833801;ies.icaro.getafe@educa.madrid.org;-;Público;
Madrid-Sur;28046261;IES;IGNACIO ALDECOA;Calle Saeta, S/n ;Getafe;-;28909;916847958;916847831;ies.ignacioaldecoa.getafe@educa.madrid.org;-;Público;
Madrid-Este;28042000;IES;IGNACIO ELLACURIA;Calle Senda Perdida, S/n ;Alcalá de Henares;-;28805;918823430;918825565;ies.ignacioellacuria.alcala@educa.madrid.org;-;Público;
Madrid-Oeste;28042620;IES;INFANTA ELENA;Carretera De Guadarrama, 85 ;Galapagar;-;28260;918587730;918585712;ies.infantaelena.galapagar@educa.madrid.org;-;Público;
Madrid-Capital;28018423;IES;INSTITUTO POLITECNICO N.1 DEL EJERCITO;Avenida De Carabanchel Alto, 17 ;Madrid;Carabanchel;28044;-;0;ies.numerounoejercito.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28039839;IES;ISAAC ALBENIZ;Avenida Gran Bretaña, 18 ;Leganés;-;28916;916800443;916807914;ies.albeniz.leganes@educa.madrid.org;-;Público;
Madrid-Capital;28038823;IES;ISAAC NEWTON;Calle De Joaquín Lorenzo, 2 ;Madrid;Fuencarral-El Pardo;28035;913732052;913732177;ies.newton.madrid@educa.madrid.org;-;Público;
Madrid-Este;28025014;IES;ISAAC PERAL;Calle Plata, 78 ;Torrejón de Ardoz;-;28850;916756936;916563524;ies.isaacperal.torrejondeardoz@educa.madrid.org;-;Público;
Madrid-Capital;28020909;IES;ISABEL LA CATOLICA;Calle De Alfonso Xii, 3 ;Madrid;Retiro;28014;915277878;915302294;ies.isabellacatolica.madrid@educa.madrid.org;-;Público;
Madrid-Oeste;28078031;IES;ISABEL LA CATOLICA;Calle De Cristóbal Colón, 12 ;Boadilla del Monte;-;28660;912760318;-;ies.isabellacatolica.boadilla@educa.madrid.org;-;Público;
Madrid-Este;28080517;IES;ISIDRA DE GUZMAN;Calle Gardenia, 29 ;Alcalá de Henares;-;28803;-;-;ies.isidradeguzman.alcala@educa.madrid.org;-;Público;
Madrid-Capital;28038379;IES;ISLAS FILIPINAS;Calle De Jesús Maestro, 3 ;Madrid;Chamberí;28003;915544349;915537592;ies.islasfilipinas.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28042115;IES;ITACA;Avenida De Los Castillos, S/n ;Alcorcón;-;28925;916101411;916116403;ies.itaca.alcorcon@educa.madrid.org;-;Público;
Madrid-Capital;28040741;IES;ITURRALDE;Calle De Nuestra Señora De La Luz, 53 ;Madrid;Latina;28047;914626822;914627744;ies.iturralde.madrid@educa.madrid.org;-;Público;
Madrid-Oeste;28002415;IES;JAIME FERRAN;Calle Matalpino, 22 ;Collado Villalba;-;28400;918501571;918508523;ies.jaimeferran.colladovillalba@educa.madrid.org;-;Público;
Madrid-Este;28038616;IES;JAIME FERRAN CLUA;Avenida Jean Paul Sartre, S/n ;San Fernando de Henares;-;28830;916723539;916698517;ies.jaimeferran.sanfernando@educa.madrid.org;-;Público;
Madrid-Capital;28028477;IES;JAIME VERA;Calle De La Infanta Mercedes, 47 ;Madrid;Tetuán;28020;915700250;915715023;ies.jaimevera.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28079357;IES;JANE GOODALL;Calle De Deyanira, S/n ;Madrid;San Blas-Canillejas;28022;917011351;-;ies.janegoodall.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28069844;IES;JIMENA MENENDEZ PIDAL;Camino Del Molino, 3 ;Fuenlabrada;-;28942;914869491;914863230;ies.jimenamenendezpidal.fuenlabrada@educa.madrid.org;-;Público;
Madrid-Norte;28024642;IES;JOAN MIRO;Calle De La Isla De La Palma, 31 ;San Sebastián de los Reyes;-;28703;916527002;916548869;ies.joanmiro.sansebastian@educa.madrid.org;-;Público;
Madrid-Sur;28042048;IES;JOAQUIN ARAUJO;Calle De La Fuente, 36 ;Fuenlabrada;-;28944;916000315;917031884;ies.joaquinaraujo.fuenlabrada@educa.madrid.org;joaquina@centros5.pntic.mec.es;Público;
Madrid-Capital;28037041;IES;JOAQUÍN RODRIGO;Calle De Casalarreina, 28 ;Madrid;Vicálvaro;28032;917762262;917762393;ies.joaquinrodrigo.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28018903;IES;JOAQUÍN TURINA;Calle De Guzmán El Bueno, 92 ;Madrid;Chamberí;28003;915539625;915336253;ies.joaquinturina.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28074037;IES;JORGE GUILLEN;Calle Olimpico Fernandez Ochoa, S/n ;Alcorcón;-;28923;916415711;916442924;ies.jorgeguillen.alcorcon@educa.madrid.org;-;Público;
Madrid-Norte;28001678;IES;JORGE MANRIQUE;Calle Del Mar Adriático, 2 ;Tres Cantos;-;28760;918040964;918046515;ies.jorgemanrique.trescantos@educa.madrid.org;-;Público;
Madrid-Sur;28003882;IES;JOSE DE CHURRIGUERA;Calle Constitución De Cádiz, 1 ;Leganés;-;28914;916946011;916938962;ies.churriguera.leganes@educa.madrid.org;-;Público;
Madrid-Oeste;28075510;IES;JOSE GARCIA NIETO;Calle Camilo José Cela, 24 ;Rozas de Madrid, Las;-;28232;911733737;911731120;ies.josegarcianieto.lasrozas@educa.madrid.org;-;Público;
Madrid-Sur;28040696;IES;JOSÉ HIERRO;Avenida De Juan Carlos I, 9 ;Getafe;-;28905;916821213;916810373;ies.josehierro.getafe@educa.madrid.org;-;Público;
Madrid-Sur;28074050;IES;JOSE LUIS LOPEZ ARANGUREN;Calle De Colombia, 28-30 ;Fuenlabrada;-;28945;916976614;911911223;ies.lopezaranguren.fuenlabrada@educa.madrid.org;-;Público;
Madrid-Norte;28035317;IES;JOSE LUIS SAMPEDRO;Avenida De La Vega, S/n ;Tres Cantos;-;28760;918031142;918034126;ies.sampedro.trescantos@educa.madrid.org;-;Público;
Madrid-Sur;28080025;IES;JOSE PEDRO PEREZ LLORCA;Calle Planeta Mercurio, S/n ;Parla;-;28983;620228432;-;ies.josepedroperezllorca.parla@educa.madrid.org;-;Público;
Madrid-Oeste;28058652;IES;JOSE SARAMAGO;Calle Del Maestro, 1 ;Majadahonda;-;28220;916398411;916347902;ies.josesaramago.majadahonda@educa.madrid.org;-;Público;
Madrid-Este;28058627;IES;JOSE SARAMAGO;Camino De Valdearganda, 8 ;Arganda del Rey;-;28500;918757890;918712127;ies.josesaramago.arganda@educa.madrid.org;-;Público;
Madrid-Sur;28039700;IES;JOSEFINA ALDECOA;Calle De Sahagún, S/n ;Alcorcón;-;28925;916125261;916125361;ies.josefinaaldecoa.alcorcon@educa.madrid.org;-;Público;
Madrid-Este;28079400;IES;JUAN BAUTISTA MONEGRO;Avenida Salvador Dalí, 7 ;Torrejón de Ardoz;-;28850;912723413;-;ies.juanbautistamonegro.torrejondeardoz@educa.madrid.org;-;Público;
Madrid-Sur;28002181;IES;JUAN CARLOS I;Calle De San Francisco, S/n ;Ciempozuelos;-;28350;918930158;918933080;ies.juancarlosprimero.ciempozuelos@educa.madrid.org;-;Público;
Madrid-Oeste;28028684;IES;JUAN DE HERRERA;Carretera De Guadarrama, S/n ;San Lorenzo de El Escorial;-;28200;918902470;918906761;ies.juandeherrera.sanlorenzo@educa.madrid.org;-;Público;
Madrid-Capital;28020910;IES;JUAN DE LA CIERVA;Calle De La Caoba, 1 ;Madrid;Arganzuela;28005;915064610;914670167;ies.juandelacierva.madrid@educa.madrid.org;-;Público;
Madrid-Norte;28043028;IES;JUAN DE MAIRENA;Pasaje La Viña, 3 ;San Sebastián de los Reyes;-;28701;916518199;916639137;ies.juandemairena.sansebastian@educa.madrid.org;-;Público;
Madrid-Capital;28035330;IES;JUAN DE VILLANUEVA;Calle Del Camino Viejo De Villaverde, 28 ;Madrid;Usera;28041;913416343;913417819;ies.juandevillanuev.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28074670;IES;JUAN GRIS;Avenida De La O.n.u., 85-87 ;Móstoles;-;28936;916460176;916465994;ies.juangris.mostoles@educa.madrid.org;-;Público;
Madrid-Capital;28076371;IES;JUAN RAMON JIMÉNEZ;Calle De La Estefanita, S/n ;Madrid;Villaverde;28021;912761508;-;ies.juanramonjimenez.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28041433;IES;JUANA DE CASTILLA;Calle De Valdebernardo, 3 ;Madrid;Moratalaz;28030;917726666;913710669;ies.juanadecastilla.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28039797;IES;JULIO CARO BAROJA;Calle De La Habana, 2 ;Fuenlabrada;-;28945;916060313;916159910;ies.carobaroja.fuenlabrada@educa.madrid.org;-;Público;
Madrid-Norte;28040799;IES;JULIO PALACIOS;Avenida Del Moscatelar, 19 ;San Sebastián de los Reyes;-;28703;916524999;916520194;ies.juliopalacios.sansebastian@educa.madrid.org;-;Público;
Madrid-Sur;28039864;IES;JULIO VERNE;Calle De La Ingeniería, 4 ;Leganés;-;28918;916807665;914810010;ies.julioverne.leganes@educa.madrid.org;-;Público;
Madrid-Sur;28036978;IES;LA ARBOLEDA;Avenida Del Oeste, S/n ;Alcorcón;-;28922;916439991;916440025;ies.laarboleda.alcorcon@educa.madrid.org;-;Público;
Madrid-Oeste;28035342;IES;LA DEHESILLA;Camino De La Dehesilla Y Rodeo, S/n ;Cercedilla;-;28470;918521763;918520187;ies.ladehesilla.cercedilla@educa.madrid.org;-;Público;
Madrid-Capital;28028453;IES;LA ESTRELLA;Calle De La Estrella Polar, 10 ;Madrid;Retiro;28007;914095211;914097680;ies.laestrella.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28038872;IES;LA FORTUNA;Calle Castelo Branco, 4 ;Leganés;-;28917;916197912;916105228;ies.lafortuna.leganes@educa.madrid.org;-;Público;
Madrid-Sur;28041482;IES;LA LAGUNA;Camino Del Salmoral, S/n ;Parla;-;28981;916051520;916051862;ies.lalaguna.parla@educa.madrid.org;-;Público;
Madrid-Este;28036981;IES;LA POVEDA;Calle Monte Potrero, S/n ;Arganda del Rey;-;28500;918715312;918704123;ies.lapoveda.arganda@educa.madrid.org;-;Público;
Madrid-Sur;28072107;IES;LA SENDA;Senda De Mafalda, 2 ;Getafe;-;28905;916810212;916823884;ies.lasenda.getafe@educa.madrid.org;-;Público;
Madrid-Sur;28038860;IES;LA SERNA;Calle De Zaragoza, 8 ;Fuenlabrada;-;28941;916062508;916974533;ies.laserna.fuenlabrada@educa.madrid.org;-;Público;
Madrid-Sur;28039827;IES;LAGUNA DE JOATZEL;Avenida Vascongadas, S/n ;Getafe;-;28903;916832026;916830013;ies.lagunadejoatzel.getafe@educa.madrid.org;-;Público;
Madrid-Sur;28057180;IES;LAS AMERICAS;Calle Felipe Ii, 13 ;Parla;-;28982;916986908;916981923;ies.lasamericas.parla@educa.madrid.org;-;Público;
Madrid-Oeste;28041597;IES;LAS CANTERAS;Calle Peñalara, 2 ;Collado Villalba;-;28400;918513438;918513588;ies.lascanteras.colladovillalba@educa.madrid.org;-;Público;
Madrid-Oeste;28046303;IES;LAS ENCINAS;Avenida Mirasierra, 8 ;Villanueva de la Cañada;-;28691;918157473;918156010;ies.lasencinas.villanuevadelacanada@educa.madrid.org;-;Público;
Madrid-Este;28041494;IES;LAS LAGUNAS;Avenida De Gabriel García Márquez, S/n ;Rivas-Vaciamadrid;-;28523;916660003;916669082;ies.laslagunas.rivas@educa.madrid.org;-;Público;
Madrid-Capital;28030976;IES;LAS MUSAS;Calle De Carlos Ii, S/n ;Madrid;San Blas-Canillejas;28022;913065946;913240028;ies.lasmusas.madrid@educa.madrid.org;-;Público;
Madrid-Oeste;28028571;IES;LAS ROZAS I;Calle Real, 52 ;Rozas de Madrid, Las;-;28231;916374006;916374323;ies.uno.lasrozas@educa.madrid.org;-;Público;
Madrid-Este;28025026;IES;LAS VEREDILLAS;Calle Lisboa, 53 ;Torrejón de Ardoz;-;28850;916753049;916753198;ies.lasveredillas.torrejondeardoz@educa.madrid.org;-;Público;
Madrid-Oeste;28045050;IES;LAZARO CARDENAS;Calle Isla De Sálvora, 153 ;Collado Villalba;-;28400;918514581;918518466;ies.lazarocardenas.colladovillalba@educa.madrid.org;-;Público;
Madrid-Este;28060373;IES;LAZARO CARRETER;Calle Pio Baroja, 7 ;Alcalá de Henares;-;28806;918770290;918833019;ies.lazarocarreter.alcala@educa.madrid.org;-;Público;
Madrid-Sur;28040702;IES;LEON FELIPE;Avenida De Las Fuerzas Armadas, S/n ;Getafe;-;28901;916818080;916839657;ies.leonfelipe.getafe@educa.madrid.org;-;Público;
Madrid-Este;28030228;IES;LEON FELIPE;Calle San Fernando, S/n ;Torrejón de Ardoz;-;28850;916768112;916765566;ies.leonfelipe.torrejondeardoz@educa.madrid.org;-;Público;
Madrid-Capital;28031002;IES;LEONARDO DA VINCI;Calle Del General Romero Basart, 90 ;Madrid;Latina;28044;917064970;917061265;ies.leonardodavinci.madrid@educa.madrid.org;-;Público;
Madrid-Oeste;28032501;IES;LEONARDO DA VINCI;Avenida Guadarrama, 42 ;Majadahonda;-;28220;916387423;916387513;ies.leonardodavinci.majadahonda@educa.madrid.org;-;Público;
Madrid-Capital;28019889;IES;LOPE DE VEGA;Calle De San Bernardo, 70 ;Madrid;Centro;28015;915321362;915320248;ies.lopedevega.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28026092;IES;LOS CASTILLOS;Avenida De Los Castillos, 5 ;Alcorcón;-;28925;916121063;916119451;ies.loscastillos.alcorcon@educa.madrid.org;-;Público;
Madrid-Este;28045025;IES;LOS OLIVOS;Calle De Joan Miró, 1 ;Mejorada del Campo;-;28840;916794920;916681156;ies.losolivos.mejorada@educa.madrid.org;info@ieslosolivosmejorada.es;Público;
Madrid-Sur;28039992;IES;LOS ROSALES;Calle Tulipán, 4 ;Móstoles;-;28933;916146212;916178952;ies.losrosales.mostoles@educa.madrid.org;-;Público;
Madrid-Este;28042607;IES;LUIS BRAILLE;Calle De Luis Braille, 42 ;Coslada;-;28822;916698191;916694783;ies.luisbraille.coslada@educa.madrid.org;-;Público;
Madrid-Sur;28038422;IES;LUIS BUÑUEL;Calle Orquídea, 1 ;Móstoles;-;28933;912360001;912264142;ies.luisbunuel.mostoles@educa.madrid.org;-;Público;
Madrid-Sur;28038100;IES;LUIS BUÑUEL;Calle De Berlín, 2 ;Alcorcón;-;28922;916107013;911911285;ies.luisbunuel.alcorcon@educa.madrid.org;-;Público;
Madrid-Este;28040027;IES;LUIS DE GONGORA;Calle Río, S/n ;Torrejón de Ardoz;-;28850;916487638;916568738;ies.gongora.torrejondeardoz@educa.madrid.org;-;Público;
Madrid-Norte;28064044;IES;LUIS GARCIA BERLANGA;Camino De Chozas, S/n ;Guadalix de la Sierra;-;28794;918470636;-;ies.luisgarciaberlanga.guadalix@educa.madrid.org;-;Público;
Madrid-Este;28044318;IES;LUIS GARCIA BERLANGA;Calle De La Virgen Del Mar, S/n ;Coslada;-;28821;916695610;916735613;ies.garciaberlanga.coslada@educa.madrid.org;-;Público;
Madrid-Sur;28003894;IES;LUIS VIVES;Paseo De La Ermita, 15 ;Leganés;-;28918;916807712;916801316;ies.luisvives.leganes@educa.madrid.org;-;Público;
Madrid-Capital;28045840;IES;MADRID-SUR;Avenida Del Parque De Palomeras Bajas, S/n ;Madrid;Puente de Vallecas;28018;917850181;917860146;ies.madridsur.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28046273;IES;MAESTRO JUAN MARIA LEONET;Calle Pedro De Tolosa, 2 ;Villa del Prado;-;28630;918649088;918620727;ies.maestrojmleonet.villadelprado@educa.madrid.org;-;Público;
Madrid-Sur;28062023;IES;MAESTRO MATIAS BRAVO;Avenida Del Mar Egeo, S/n ;Valdemoro;-;28341;918018044;918087061;ies.maestromatiasbravo.valdemoro@educa.madrid.org;-;Público;
Madrid-Capital;28077889;IES;MALALA YOUSAFZAI;Calle De La Sierra De Atapuerca, 5 ;Madrid;Fuencarral-El Pardo;28050;916533100;-;ies.malalayousafzai.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28028568;IES;MANUEL DE FALLA;Avenida Olímpica, 16 ;Móstoles;-;28935;916171074;916183941;ies.manueldefalla.mostoles@educa.madrid.org;-;Público;
Madrid-Este;28045037;IES;MANUEL DE FALLA;Avenida De Manuel Azaña, 32 ;Coslada;-;28822;916691182;916691492;ies.manueldefalla.coslada@educa.madrid.org;-;Público;
Madrid-Sur;28038902;IES;MANUEL ELKIN PATARROYO;Camino De La Cantueña, S/n ;Parla;-;28982;916986111;916054219;ies.manuelelkinpatarroyo.parla@educa.madrid.org;-;Público;
Madrid-Capital;28073859;IES;MANUEL FRAGA IRIBARNE;Avenida De Niceto Alcalá Zamora, 54 ;Madrid;Hortaleza;28050;912761503;912749994;ies.manuelfragairibarne.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28033552;IES;MANUELA MALASAÑA;Calle Del Desarrollo, 50 ;Móstoles;-;28938;916453978;916470059;ies.malasana.mostoles@educa.madrid.org;-;Público;
Madrid-Oeste;28042073;IES;MARGARITA SALAS;Calle María Teresa León, 1 ;Majadahonda;-;28220;916340599;916340056;ies.margaritasalas.majadahonda@educa.madrid.org;-;Público;
Madrid-Capital;28038801;IES;MARIA DE MOLINA;Calle De Mirabel, 22 ;Madrid;Latina;28044;917054656;-;ies.mariademolina.madrid@educa.madrid.org;-;Público;
Madrid-Oeste;28039128;IES;MARIA DE ZAYAS Y SOTOMAYOR;Calle Del Romero, 2 ;Majadahonda;-;28221;916396611;916396742;ies.mariadezayas.majadahonda@educa.madrid.org;-;Público;
Madrid-Capital;28080967;IES;MARIA GOYRI GOYRI;Calle De Los Ganados Del Salobral, 5 ;Madrid;Villaverde;28021;-;-;ies.mariagoyrigoyri.madrid@educa.madrid.org;-;Público;
Madrid-Oeste;28042012;IES;MARIA GUERRERO;Avenida Las Suertes, S/n ;Collado Villalba;-;28400;918508395;918516563;ies.mariaguerrero.colladovillalba@educa.madrid.org;-;Público;
Madrid-Este;28028350;IES;MARIA MOLINER;Avenida De España, 115 ;Coslada;-;28822;916710784;916723611;ies.mariamoliner.coslada@educa.madrid.org;-;Público;
Madrid-Capital;28077269;IES;MARIA RODRIGO;Calle Talamanca Del Jarama, 2 ;Madrid;Villa de Vallecas;28051;912761532;917031802;ies.mariarodrigo.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28003900;IES;MARIA ZAMBRANO;Calle Alpujarras, 52 ;Leganés;-;28915;916880222;916804235;ies.mariazambrano.leganes@educa.madrid.org;-;Público;
Madrid-Capital;28030952;IES;MARIANA PINEDA;Calle Del Alcalde Garrido Juaristi, 8 ;Madrid;Moratalaz;28030;914302111;911911202;ies.marianapineda.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28028431;IES;MARIANO JOSE DE LARRA;Calle De Camarena, 181 ;Madrid;Latina;28047;917192105;917192304;ies.larra.madrid@educa.madrid.org;-;Público;
Madrid-Norte;28002312;IES;MARQUES DE SANTILLANA;Calle De La Isla Del Rey, 5 ;Colmenar Viejo;-;28770;918452114;918463313;ies.marquesdesantil.colmenarviejo@educa.madrid.org;-;Público;
Madrid-Capital;28039840;IES;MARQUES DE SUANZES;Avenida Del Veinticinco De Septiembre, 3 ;Madrid;San Blas-Canillejas;28027;917414653;913200619;ies.marquesdesuanze.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28003201;IES;MATEMATICO PUIG ADAM;Calle Toledo, 45 ;Getafe;-;28901;916951024;916969962;ies.puigadam.getafe@educa.madrid.org;-;Público;
Madrid-Este;28030903;IES;MATEO ALEMAN;Avenida Del Ejército, 89 ;Alcalá de Henares;-;28802;918882431;918889710;ies.mateoaleman.alcala@educa.madrid.org;-;Público;
Madrid-Sur;28074669;IES;MENENDEZ PELAYO;Avenida De Las Ciudades, S/n ;Getafe;-;28903;916821511;916817291;ies.menendezpelayo.getafe@educa.madrid.org;-;Público;
Madrid-Este;28002580;IES;MIGUEL CATALAN;Avenida De José Gárate, S/n ;Coslada;-;28823;916727142;916727111;ies.miguelcatalan.coslada@educa.madrid.org;-;Público;
Madrid-Este;28060385;IES;MIGUEL DE CERVANTES;Avenida Del Conde De Coruña, 31 ;Daganzo de Arriba;-;28814;918841825;918841830;ies.migueldecervantes.daganzo@educa.madrid.org;-;Público;
Madrid-Sur;28050720;IES;MIGUEL DE CERVANTES;Paseo De Arroyomolinos, 58 ;Móstoles;-;28938;916452469;916466098;ies.cervantes.mostoles@educa.madrid.org;-;Público;
Madrid-Este;28041445;IES;MIGUEL DELIBES;Avenida De Juan Gris, 44 ;Mejorada del Campo;-;28840;916680143;916681443;ies.delibes.mejorada@educa.madrid.org;-;Público;
Madrid-Capital;28030162;IES;MIGUEL DELIBES;Calle De Villaescusa, 17 ;Madrid;Ciudad Lineal;28017;917541070;913270979;ies.delibes.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28058688;IES;MIGUEL DELIBES;Calle Miguel Hernández, 2a ;Torrejón de la Calzada;-;28991;918106097;918160211;ies.migueldelibes.torrejondelacalzada@educa.madrid.org;-;Público;
Madrid-Sur;28042097;IES;MIGUEL HERNÁNDEZ;Avenida De Carlos V, 1 ;Móstoles;-;28936;916468193;916466051;ies.miguelhernandez.mostoles@educa.madrid.org;-;Público;
Madrid-Capital;28038355;IES;MIRASIERRA;Calle De La Portera Del Cura, 4 ;Madrid;Fuencarral-El Pardo;28034;917346532;913720171;ies.mirasierra.madrid@educa.madrid.org;-;Público;
Madrid-Norte;28077491;IES;MONTSERRAT CABALLE;Calle De Eslovaquia, 2 ;Tres Cantos;-;28760;918572564;917031644;ies.montserratcaballe.trescantos@educa.madrid.org;-;Público;
Madrid-Capital;28031014;IES;MORATALAZ;Calle Del Corregidor Diego De Valderrábano, 35 ;Madrid;Moratalaz;28030;914306809;914394545;ies.moratalaz.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28038446;IES;NARCIS MONTURIOL;Calle Leganés, 38 ;Parla;-;28981;916982811;916981510;ies.narcismonturiol.parla@educa.madrid.org;-;Público;
Madrid-Sur;28074062;IES;NEIL ARMSTRONG;Ronda San Sebastian, 10 ;Valdemoro;-;28341;639314247;918019537;ies.neilarmstrong.valdemoro@educa.madrid.org;-;Público;
Madrid-Sur;28070974;IES;NICOLAS COPERNICO;Avenida Del Sistema Solar, 8 ;Parla;-;28983;918295357;918295364;ies.nicolascopernico.parla@educa.madrid.org;-;Público;
Madrid-Capital;28020806;IES;NUESTRA SEÑORA DE LA ALMUDENA;Plaza De La Remonta, 17 ;Madrid;Tetuán;28039;915712857;915711386;ies.almudena.madrid@educa.madrid.org;-;Público;
Madrid-Este;28025658;IES;NUESTRA SEÑORA DE LA VICTORIA DE LEPANTO;Calle De Luis De Requesens, 1 ;Villarejo de Salvanés;-;28590;918744170;918742096;ies.victoria.villarejo@educa.madrid.org;-;Público;
Madrid-Capital;28058603;IES;NUMANCIA;Calle De Las Marismas, 14 ;Madrid;Puente de Vallecas;28038;915015001;915014989;ies.numancia.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28018381;IES;ORTEGA Y GASSET;Calle Santa Fe, 4 ;Madrid;Moncloa-Aravaca;28008;915476635;915413941;ies.ortegaygasset.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28042024;IES;PABLO NERUDA;Calle Maestro, 31 ;Leganés;-;28914;916801909;916864889;ies.neruda.leganes@educa.madrid.org;-;Público;
Madrid-Sur;28043016;IES;PABLO PICASSO;Calle De Pablo Picasso, S/n ;Pinto;-;28320;916921536;916923423;ies.picasso.pinto@educa.madrid.org;-;Público;
Madrid-Capital;28021252;IES;PACIFICO;Calle De Luis Mitjans, 41 ;Madrid;Retiro;28007;915523979;914340337;ies.pacifico.madrid@educa.madrid.org;-;Público;
Madrid-Este;28041500;IES;PALAS ATENEA;Calle Arrope, S/n ;Torrejón de Ardoz;-;28850;916772915;916774898;ies.palasatenea.torrejondeardoz@educa.madrid.org;-;Público;
Madrid-Capital;28021549;IES;PALOMERAS VALLECAS;Calle De Mercator, 4 ;Madrid;Puente de Vallecas;28031;913314503;913325458;ies.palomerasvallecas.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28020727;IES;PARQUE ALUCHE;Calle De Maqueda, 86 ;Madrid;Latina;28024;917182610;917182498;ies.parquealuche.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28038859;IES;PARQUE DE LISBOA;Calle De La Paz, 6 ;Alcorcón;-;28924;916118712;916120200;ies.parquelisboa.alcorcon@educa.madrid.org;-;Público;
Madrid-Sur;28045645;IES;PEDRO DE TOLOSA;Calle De Los Estudios, 1 ;San Martín de Valdeiglesias;-;28680;918610145;918612577;ies.pedrodetolosa.sanmartindevaldeiglesias@educa.madrid.org;-;Público;
Madrid-Sur;28072223;IES;PEDRO DUQUE;Calle Beatriz Galindo, 1-3 ;Leganés;-;28914;916889133;916800999;ies.pedroduque.leganes@educa.madrid.org;-;Público;
Madrid-Capital;28074244;IES;PEDRO SALINAS;Calle Del General Marvá, 24-26 ;Madrid;Usera;28026;915699236;915699235;ies.pedrosalinas.madrid@educa.madrid.org;-;Público;
Madrid-Norte;28042103;IES;PINTOR ANTONIO LOPEZ;Calle Del Orégano, 1 ;Tres Cantos;-;28760;918039102;918030328;ies.antoniolopez.trescantos@educa.madrid.org;-;Público;
Madrid-Capital;28020715;IES;PIO BAROJA;Calle De Tolosa, 2 ;Madrid;Usera;28041;913412613;913417077;ies.piobaroja.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28030241;IES;PRADO DE SANTO DOMINGO;Avenida Esteban Marquez, 3 ;Alcorcón;-;28922;916439100;916432363;ies.pradodesantodomingo.alcorcon@educa.madrid.org;-;Público;
Madrid-Capital;28037053;IES;PRADOLONGO;Calle Del Albardín, 6 ;Madrid;Usera;28026;914699013;915650391;ies.pradolongo.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28047411;IES;PRINCIPE FELIPE;Calle De Finisterre, 60 ;Madrid;Fuencarral-El Pardo;28029;913146312;913159895;ies.principefelipe.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28041470;IES;PROFESOR ANGEL YSERN;Paseo Don Miguel Ribagorda Gómez, 3 ;Navalcarnero;-;28600;918101230;918112560;ies.angelysern.navalcarnero@educa.madrid.org;-;Público;
Madrid-Este;28050732;IES;PROFESOR JULIO PEREZ;Avenida De Levante, 141 ;Rivas-Vaciamadrid;-;28521;916704112;916704113;ies.profesorjulioperez.rivas@educa.madrid.org;-;Público;
Madrid-Oeste;28041378;IES;PROFESOR MAXIMO TRUEBA;Calle De Santillana Del Mar, 22 ;Boadilla del Monte;-;28660;916321512;916321518;ies.maximotrueba.boadilla@educa.madrid.org;-;Público;
Madrid-Capital;28048282;IES;PUERTA BONITA;Calle Del Padre Amigo, 5 ;Madrid;Carabanchel;28025;914661744;914629367;ies.puertabonita.madrid@educa.madrid.org;-;Público;
